Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0 ,3/14/2022 6:55:19 AM , 0 ,3/14/2022 6:55:39 AM , 0 ,3/14/2022 6:55:59 AM , 0 ,3/14/2022 6:56:19 AM , 0 ,3/14/2022 6:56:39 AM , 0 ,3/14/2022 6:56:59 AM , 0 ,3/14/2022 6:57:19 AM , 0 ,3/14/2022 6:57:39 AM , 0 ,3/14/2022 6:57:59 AM , 0 ,3/14/2022 6:58:19 AM , 5.259705E-02 ,3/14/2022 6:58:39 AM , 0 ,3/14/2022 6:58:59 AM , 0 ,3/14/2022 6:59:19 AM , 0 ,3/14/2022 6:59:39 AM , 0 ,3/14/2022 6:59:59 AM , 0 ,
 2 ,3/14/2022 7:00:39 AM , 0 ,3/14/2022 7:00:59 AM , 0 ,3/14/2022 7:01:19 AM , 0 ,3/14/2022 7:01:39 AM , 0 ,3/14/2022 7:01:59 AM , 0 ,3/14/2022 7:02:19 AM , 0 ,3/14/2022 7:02:39 AM , 0 ,3/14/2022 7:02:59 AM , 0 ,3/14/2022 7:03:19 AM , 0 ,3/14/2022 7:03:39 AM , 0 ,3/14/2022 7:03:59 AM , 0 ,3/14/2022 7:04:19 AM , 7.249705E-02 ,3/14/2022 7:04:39 AM , 0 ,3/14/2022 7:04:59 AM , 0 ,3/14/2022 7:05:19 AM , 3.524272E-02 ,3/14/2022 7:05:39 AM , 8.672841E-02 ,
 3 ,3/14/2022 7:06:19 AM , 0 ,3/14/2022 7:06:39 AM , 0 ,3/14/2022 7:06:59 AM , 0 ,3/14/2022 7:07:19 AM , 0 ,3/14/2022 7:07:39 AM , 0 ,3/14/2022 7:07:59 AM , 0.1213684 ,3/14/2022 7:08:19 AM , 8.016459E-02 ,3/14/2022 7:08:39 AM , 0 ,3/14/2022 7:08:59 AM , 9.968059E-02 ,3/14/2022 7:09:19 AM , 0.1444957 ,3/14/2022 7:09:39 AM , 0 ,3/14/2022 7:09:59 AM , 0 ,3/14/2022 7:10:19 AM , 0 ,3/14/2022 7:10:39 AM , 0 ,3/14/2022 7:10:59 AM , 0 ,3/14/2022 7:11:19 AM , 0 ,
 4 ,3/14/2022 7:11:59 AM , 0 ,3/14/2022 7:12:19 AM , 0 ,3/14/2022 7:12:39 AM , 0 ,3/14/2022 7:12:59 AM , 0 ,3/14/2022 7:13:19 AM , 0 ,3/14/2022 7:13:39 AM , 0 ,3/14/2022 7:13:59 AM , 0 ,3/14/2022 7:14:19 AM , 0 ,3/14/2022 7:14:39 AM , 0 ,3/14/2022 7:14:59 AM , 0 ,3/14/2022 7:15:19 AM , 0 ,3/14/2022 7:15:39 AM , 0 ,3/14/2022 7:15:59 AM , 0 ,3/14/2022 7:16:19 AM , 0 ,3/14/2022 7:16:39 AM , 0 ,3/14/2022 7:16:59 AM , 0 ,
 5 ,3/14/2022 7:17:39 AM , 0 ,3/14/2022 7:17:59 AM , 7.015991E-02 ,3/14/2022 7:18:19 AM , 0 ,3/14/2022 7:18:39 AM , 8.916219E-02 ,3/14/2022 7:18:59 AM , 0 ,3/14/2022 7:19:19 AM , 0 ,3/14/2022 7:19:39 AM , 0 ,3/14/2022 7:19:59 AM , 0 ,3/14/2022 7:20:19 AM , 0 ,3/14/2022 7:20:39 AM , 0 ,3/14/2022 7:20:59 AM , 0 ,3/14/2022 7:21:19 AM , 0 ,3/14/2022 7:21:39 AM , 0 ,3/14/2022 7:21:59 AM , 0.3394038 ,3/14/2022 7:22:19 AM , 3.022766E-02 ,3/14/2022 7:22:39 AM , 0 ,
 6 ,3/14/2022 7:23:19 AM , 0 ,3/14/2022 7:23:39 AM , 0 ,3/14/2022 7:23:59 AM , 0 ,3/14/2022 7:24:19 AM , 0.1032918 ,3/14/2022 7:24:39 AM , 0 ,3/14/2022 7:24:59 AM , 0 ,3/14/2022 7:25:19 AM , 0 ,3/14/2022 7:25:39 AM , 0 ,3/14/2022 7:25:59 AM , 0 ,3/14/2022 7:26:19 AM , 0 ,3/14/2022 7:26:39 AM , 0 ,3/14/2022 7:26:59 AM , 0 ,3/14/2022 7:27:19 AM , 0 ,3/14/2022 7:27:39 AM , 5.295816E-02 ,3/14/2022 7:27:59 AM , 0 ,3/14/2022 7:28:19 AM , 0 ,
 7 ,3/14/2022 7:28:59 AM , 0 ,3/14/2022 7:29:19 AM , 0 ,3/14/2022 7:29:39 AM , 0 ,3/14/2022 7:29:59 AM , 0 ,3/14/2022 7:30:19 AM , 0 ,3/14/2022 7:30:39 AM , 0 ,3/14/2022 7:30:59 AM , 0 ,3/14/2022 7:31:19 AM , 0 ,3/14/2022 7:31:39 AM , 0 ,3/14/2022 7:31:59 AM , 0 ,3/14/2022 7:32:19 AM , 0 ,3/14/2022 7:32:39 AM , 0 ,3/14/2022 7:32:59 AM , 0 ,3/14/2022 7:33:19 AM , 0.2375157 ,3/14/2022 7:33:39 AM , 0 ,3/14/2022 7:33:59 AM , 0 ,
 8 ,3/14/2022 7:34:39 AM , 0 ,3/14/2022 7:34:59 AM , 0 ,3/14/2022 7:35:19 AM , 0 ,3/14/2022 7:35:39 AM , 0 ,3/14/2022 7:35:59 AM , 0 ,3/14/2022 7:36:19 AM , 0 ,3/14/2022 7:36:39 AM , 3.533173E-02 ,3/14/2022 7:36:59 AM , 0 ,3/14/2022 7:37:19 AM , 3.274028E-02 ,3/14/2022 7:37:39 AM , 0 ,3/14/2022 7:37:59 AM , 0 ,3/14/2022 7:38:19 AM , 0 ,3/14/2022 7:38:39 AM , 0 ,3/14/2022 7:38:59 AM , 0 ,3/14/2022 7:39:19 AM , 0 ,3/14/2022 7:39:39 AM , 0 ,
