Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,PRESSURE (kpa)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 74.99565 ,3/15/2022 6:56:40 AM , 74.99565 ,3/15/2022 6:57:00 AM , 74.99748 ,3/15/2022 6:57:20 AM , 74.99748 ,3/15/2022 6:57:40 AM , 74.99748 ,3/15/2022 6:58:00 AM , 74.99748 ,3/15/2022 6:58:20 AM , 74.99565 ,3/15/2022 6:58:40 AM , 74.99565 ,3/15/2022 6:59:00 AM , 74.99565 ,3/15/2022 6:59:20 AM , 74.99748 ,3/15/2022 6:59:40 AM , 74.99565 ,3/15/2022 7:00:00 AM , 74.99748 ,3/15/2022 7:00:20 AM , 74.99748 ,3/15/2022 7:00:40 AM , 74.99565 ,3/15/2022 7:01:00 AM , 74.99565 ,3/15/2022 7:01:20 AM , 74.99565 ,
 2 ,3/15/2022 7:02:00 AM , 74.99748 ,3/15/2022 7:02:20 AM , 74.99565 ,3/15/2022 7:02:40 AM , 74.99748 ,3/15/2022 7:03:00 AM , 74.99748 ,3/15/2022 7:03:20 AM , 74.99748 ,3/15/2022 7:03:40 AM , 74.99565 ,3/15/2022 7:04:00 AM , 74.99565 ,3/15/2022 7:04:20 AM , 74.99565 ,3/15/2022 7:04:40 AM , 74.99565 ,3/15/2022 7:05:00 AM , 74.99565 ,3/15/2022 7:05:20 AM , 74.99748 ,3/15/2022 7:05:40 AM , 74.99748 ,3/15/2022 7:06:00 AM , 74.99565 ,3/15/2022 7:06:20 AM , 74.99565 ,3/15/2022 7:06:40 AM , 74.99748 ,3/15/2022 7:07:00 AM , 74.99748 ,
 3 ,3/15/2022 7:07:40 AM , 74.99931 ,3/15/2022 7:08:00 AM , 74.99565 ,3/15/2022 7:08:20 AM , 74.99748 ,3/15/2022 7:08:40 AM , 74.99748 ,3/15/2022 7:09:00 AM , 74.99748 ,3/15/2022 7:09:20 AM , 74.99565 ,3/15/2022 7:09:40 AM , 74.99565 ,3/15/2022 7:10:00 AM , 74.99565 ,3/15/2022 7:10:20 AM , 74.99748 ,3/15/2022 7:10:40 AM , 74.99748 ,3/15/2022 7:11:00 AM , 74.99748 ,3/15/2022 7:11:20 AM , 74.99748 ,3/15/2022 7:11:40 AM , 74.99748 ,3/15/2022 7:12:00 AM , 74.99565 ,3/15/2022 7:12:20 AM , 74.99748 ,3/15/2022 7:12:40 AM , 74.99748 ,
 4 ,3/15/2022 7:13:20 AM , 74.99748 ,3/15/2022 7:13:40 AM , 74.99748 ,3/15/2022 7:14:00 AM , 74.99748 ,3/15/2022 7:14:20 AM , 74.99565 ,3/15/2022 7:14:40 AM , 74.99748 ,3/15/2022 7:15:00 AM , 74.99748 ,3/15/2022 7:15:20 AM , 74.99565 ,3/15/2022 7:15:40 AM , 74.99748 ,3/15/2022 7:16:00 AM , 74.99748 ,3/15/2022 7:16:20 AM , 74.99748 ,3/15/2022 7:16:40 AM , 74.99748 ,3/15/2022 7:17:00 AM , 74.99565 ,3/15/2022 7:17:20 AM , 74.99565 ,3/15/2022 7:17:40 AM , 74.99748 ,3/15/2022 7:18:00 AM , 74.99748 ,3/15/2022 7:18:20 AM , 74.99748 ,
 5 ,3/15/2022 7:19:00 AM , 74.99748 ,3/15/2022 7:19:20 AM , 74.99748 ,3/15/2022 7:19:40 AM , 74.99748 ,3/15/2022 7:20:00 AM , 74.99382 ,3/15/2022 7:20:20 AM , 74.99748 ,3/15/2022 7:20:40 AM , 74.99748 ,3/15/2022 7:21:00 AM , 74.99748 ,3/15/2022 7:21:20 AM , 74.99565 ,3/15/2022 7:21:40 AM , 74.99748 ,3/15/2022 7:22:00 AM , 74.99565 ,3/15/2022 7:22:20 AM , 74.99565 ,3/15/2022 7:22:40 AM , 74.99565 ,3/15/2022 7:23:00 AM , 74.99748 ,3/15/2022 7:23:20 AM , 74.99748 ,3/15/2022 7:23:40 AM , 74.99748 ,3/15/2022 7:24:00 AM , 74.99565 ,
 6 ,3/15/2022 7:24:40 AM , 74.99748 ,3/15/2022 7:25:00 AM , 74.99748 ,3/15/2022 7:25:20 AM , 74.99565 ,3/15/2022 7:25:40 AM , 74.99748 ,3/15/2022 7:26:00 AM , 74.99565 ,3/15/2022 7:26:20 AM , 74.99748 ,3/15/2022 7:26:40 AM , 74.99748 ,3/15/2022 7:27:00 AM , 74.99748 ,3/15/2022 7:27:20 AM , 74.99748 ,3/15/2022 7:27:40 AM , 74.99565 ,3/15/2022 7:28:00 AM , 74.99565 ,3/15/2022 7:28:20 AM , 74.99565 ,3/15/2022 7:28:40 AM , 74.99565 ,3/15/2022 7:29:00 AM , 74.99748 ,3/15/2022 7:29:20 AM , 74.99748 ,3/15/2022 7:29:40 AM , 74.99748 ,
 7 ,3/15/2022 7:30:20 AM , 74.99748 ,3/15/2022 7:30:40 AM , 74.99565 ,3/15/2022 7:31:00 AM , 74.99748 ,3/15/2022 7:31:20 AM , 74.99565 ,3/15/2022 7:31:40 AM , 74.99748 ,3/15/2022 7:32:00 AM , 74.99748 ,3/15/2022 7:32:20 AM , 74.99565 ,3/15/2022 7:32:40 AM , 74.99748 ,3/15/2022 7:33:00 AM , 74.99565 ,3/15/2022 7:33:20 AM , 74.99748 ,3/15/2022 7:33:40 AM , 74.99748 ,3/15/2022 7:34:00 AM , 74.99748 ,3/15/2022 7:34:20 AM , 74.99565 ,3/15/2022 7:34:40 AM , 74.99748 ,3/15/2022 7:35:00 AM , 74.99748 ,3/15/2022 7:35:20 AM , 74.99748 ,
 8 ,3/15/2022 7:36:00 AM , 74.99748 ,3/15/2022 7:36:20 AM , 74.99748 ,3/15/2022 7:36:40 AM , 74.99748 ,3/15/2022 7:37:00 AM , 74.99748 ,3/15/2022 7:37:20 AM , 74.99565 ,3/15/2022 7:37:40 AM , 74.99565 ,3/15/2022 7:38:00 AM , 74.99748 ,3/15/2022 7:38:20 AM , 74.99565 ,3/15/2022 7:38:40 AM , 74.99565 ,3/15/2022 7:39:00 AM , 74.99565 ,3/15/2022 7:39:20 AM , 74.99748 ,3/15/2022 7:39:40 AM , 74.99748 ,3/15/2022 7:40:00 AM , 74.99748 ,3/15/2022 7:40:20 AM , 74.99748 ,3/15/2022 7:40:40 AM , 74.99748 ,3/15/2022 7:41:00 AM , 74.99565 ,
